student_id,signup_date,course_name,completion_percentage,source_campaign_id
2000,2024-01-01,Python for Data Science,27.88,1023
2001,2024-03-03,Python for Data Science,83.39,1016
2002,2024-01-08,Python for Data Science,75.61,1000
2003,2024-01-05,Python for Data Science,93.37,1025
2004,2024-02-10,Data Analytics 101,92.35,1008
2005,2024-03-12,Data Analytics 101,50.45,1000
2006,2024-02-17,Machine Learning Basics,43.37,1029
2007,2024-03-28,Python for Data Science,69.93,1011
2008,2024-04-13,Data Analytics 101,34.72,1002
2009,2024-03-05,Python for Data Science,44.46,1014
2010,2024-03-18,Machine Learning Basics,86.4,1004
2011,2024-03-30,Data Analytics 101,31.24,1013
2012,2024-04-12,Data Analytics 101,13.64,1014
2013,2024-01-15,Data Analytics 101,19.98,1027
2014,2024-03-17,Machine Learning Basics,28.15,1006
2015,2024-04-22,Data Analytics 101,38.29,1003
2016,2024-04-03,Data Analytics 101,22.54,1006
2017,2024-04-18,Data Analytics 101,58.59,1028
2018,2024-02-05,Data Analytics 101,94.86,1006
2019,2024-02-28,Data Analytics 101,72.53,1027
2020,2024-03-06,Python for Data Science,66.19,1029
2021,2024-02-26,Python for Data Science,19.49,1027
2022,2024-01-28,Machine Learning Basics,29.66,1019
2023,2024-01-30,Data Analytics 101,89.5,1025
2024,2024-04-28,Machine Learning Basics,90.65,1006
2025,2024-03-02,Machine Learning Basics,19.9,1024
2026,2024-01-27,Python for Data Science,48.44,1019
2027,2024-03-17,Python for Data Science,87.47,1006
2028,2024-03-10,Machine Learning Basics,55.97,1008
2029,2024-03-02,Machine Learning Basics,29.99,1018
2030,2024-04-15,Data Analytics 101,40.39,1014
2031,2024-02-28,Data Analytics 101,39.09,1023
2032,2024-04-14,Python for Data Science,46.35,1029
2033,2024-04-22,Data Analytics 101,32.85,1011
2034,2024-02-08,Python for Data Science,54.75,1016
2035,2024-04-10,Python for Data Science,35.64,1016
2036,2024-02-28,Python for Data Science,64.86,1001
2037,2024-04-01,Data Analytics 101,14.63,1004
2038,2024-04-05,Data Analytics 101,91.74,1018
2039,2024-01-02,Machine Learning Basics,57.78,1025
2040,2024-02-01,Python for Data Science,59.76,1022
2041,2024-03-08,Machine Learning Basics,17.28,1023
2042,2024-01-17,Python for Data Science,75.54,1023
2043,2024-03-09,Machine Learning Basics,66.91,1005
2044,2024-03-26,Data Analytics 101,58.22,1015
2045,2024-01-16,Data Analytics 101,85.18,1027
2046,2024-02-28,Python for Data Science,26.79,1028
2047,2024-01-03,Machine Learning Basics,63.18,1026
2048,2024-02-05,Machine Learning Basics,11.49,1002
2049,2024-01-19,Machine Learning Basics,41.38,1006
2050,2024-02-21,Python for Data Science,94.65,1007
2051,2024-02-08,Machine Learning Basics,94.31,1000
2052,2024-01-11,Data Analytics 101,40.7,1024
2053,2024-02-19,Data Analytics 101,93.22,1029
2054,2024-02-11,Data Analytics 101,33.21,1027
2055,2024-01-16,Python for Data Science,83.55,1024
2056,2024-04-25,Python for Data Science,57.67,1001
2057,2024-01-01,Data Analytics 101,18.38,1011
2058,2024-03-09,Python for Data Science,91.04,1026
2059,2024-04-28,Data Analytics 101,40.51,1002
2060,2024-01-19,Machine Learning Basics,75.34,1002
2061,2024-01-20,Python for Data Science,89.84,1023
2062,2024-02-02,Data Analytics 101,67.78,1010
2063,2024-04-22,Python for Data Science,24.55,1005
2064,2024-04-13,Python for Data Science,64.58,1002
2065,2024-04-21,Python for Data Science,19.13,1002
2066,2024-01-25,Data Analytics 101,10.46,1013
2067,2024-03-22,Python for Data Science,53.71,1002
2068,2024-03-20,Python for Data Science,99.5,1003
2069,2024-02-02,Python for Data Science,11.63,1013
2070,2024-01-21,Python for Data Science,26.09,1023
2071,2024-01-08,Python for Data Science,86.43,1016
2072,2024-02-02,Machine Learning Basics,58.83,1026
2073,2024-04-24,Machine Learning Basics,67.27,1021
2074,2024-04-19,Python for Data Science,63.09,1005
2075,2024-04-18,Python for Data Science,53.81,1007
2076,2024-01-27,Python for Data Science,49.1,1020
2077,2024-01-30,Data Analytics 101,68.06,1014
2078,2024-03-04,Python for Data Science,87.78,1027
2079,2024-03-01,Machine Learning Basics,54.93,1003
2080,2024-02-04,Data Analytics 101,79.17,1016
2081,2024-02-13,Python for Data Science,94.64,1028
2082,2024-02-15,Machine Learning Basics,92.34,1002
2083,2024-04-14,Python for Data Science,95.78,1028
2084,2024-04-22,Data Analytics 101,59.75,1002
2085,2024-02-29,Machine Learning Basics,86.77,1028
2086,2024-03-25,Python for Data Science,27.18,1000
2087,2024-03-07,Python for Data Science,25.25,1024
2088,2024-04-15,Python for Data Science,94.25,1025
2089,2024-03-07,Python for Data Science,61.31,1023
2090,2024-04-23,Data Analytics 101,65.35,1021
2091,2024-01-23,Machine Learning Basics,22.61,1026
2092,2024-04-15,Data Analytics 101,88.96,1016
2093,2024-04-13,Machine Learning Basics,72.73,1010
2094,2024-04-27,Data Analytics 101,42.35,1028
2095,2024-02-11,Data Analytics 101,82.84,1002
2096,2024-02-19,Machine Learning Basics,88.04,1012
2097,2024-02-29,Python for Data Science,56.02,1024
2098,2024-02-05,Machine Learning Basics,81.85,1000
2099,2024-01-08,Machine Learning Basics,73.18,1015
2100,2024-01-14,Data Analytics 101,90.1,1022
2101,2024-01-15,Python for Data Science,43.8,1001
2102,2024-02-01,Data Analytics 101,62.05,1021
2103,2024-02-20,Machine Learning Basics,51.9,1029
2104,2024-01-22,Machine Learning Basics,63.17,1021
2105,2024-02-18,Machine Learning Basics,13.36,1005
2106,2024-01-15,Machine Learning Basics,42.42,1027
2107,2024-04-10,Machine Learning Basics,57.0,1020
2108,2024-02-29,Python for Data Science,29.42,1004
2109,2024-04-12,Machine Learning Basics,17.68,1012
2110,2024-04-05,Data Analytics 101,57.82,1014
2111,2024-04-08,Machine Learning Basics,67.37,1019
2112,2024-01-16,Data Analytics 101,97.83,1027
2113,2024-04-15,Machine Learning Basics,39.07,1016
2114,2024-04-29,Machine Learning Basics,34.37,1027
2115,2024-02-27,Python for Data Science,17.06,1004
2116,2024-03-30,Machine Learning Basics,96.64,1022
2117,2024-01-09,Machine Learning Basics,71.96,1000
2118,2024-02-27,Data Analytics 101,92.37,1014
2119,2024-02-03,Data Analytics 101,31.58,1021
2120,2024-02-17,Python for Data Science,26.46,1012
2121,2024-04-26,Machine Learning Basics,67.44,1028
2122,2024-04-12,Machine Learning Basics,69.14,1004
2123,2024-01-22,Machine Learning Basics,75.7,1002
2124,2024-03-16,Data Analytics 101,60.94,1018
2125,2024-04-10,Python for Data Science,20.81,1028
2126,2024-03-18,Machine Learning Basics,18.26,1014
2127,2024-04-22,Python for Data Science,38.03,1029
2128,2024-04-25,Python for Data Science,25.78,1015
2129,2024-03-30,Python for Data Science,78.7,1020
2130,2024-02-08,Data Analytics 101,41.17,1029
2131,2024-04-03,Machine Learning Basics,68.48,1025
2132,2024-01-10,Data Analytics 101,95.42,1003
2133,2024-02-03,Machine Learning Basics,33.48,1009
2134,2024-01-19,Machine Learning Basics,55.28,1000
2135,2024-04-29,Data Analytics 101,69.28,1003
2136,2024-01-16,Python for Data Science,16.35,1022
2137,2024-01-02,Data Analytics 101,12.39,1026
2138,2024-03-24,Python for Data Science,61.79,1017
2139,2024-02-04,Machine Learning Basics,67.9,1000
2140,2024-03-01,Python for Data Science,59.11,1004
2141,2024-01-12,Python for Data Science,44.75,1000
2142,2024-02-09,Machine Learning Basics,91.48,1011
2143,2024-01-29,Machine Learning Basics,16.24,1013
2144,2024-01-02,Python for Data Science,13.51,1017
2145,2024-02-04,Machine Learning Basics,40.29,1025
2146,2024-01-08,Data Analytics 101,44.69,1009
2147,2024-03-30,Python for Data Science,40.66,1018
2148,2024-04-14,Machine Learning Basics,54.64,1025
2149,2024-04-26,Machine Learning Basics,41.35,1010
2150,2024-01-29,Data Analytics 101,13.53,1024
2151,2024-01-21,Python for Data Science,97.08,1003
2152,2024-01-10,Data Analytics 101,48.11,1023
2153,2024-03-04,Data Analytics 101,61.83,1002
2154,2024-04-21,Machine Learning Basics,21.49,1016
2155,2024-04-12,Machine Learning Basics,62.25,1022
2156,2024-03-02,Python for Data Science,60.57,1011
2157,2024-04-22,Python for Data Science,71.19,1022
2158,2024-03-29,Data Analytics 101,31.44,1029
2159,2024-01-17,Machine Learning Basics,58.09,1019
2160,2024-04-21,Machine Learning Basics,45.07,1012
2161,2024-02-28,Data Analytics 101,19.0,1003
2162,2024-01-12,Data Analytics 101,96.27,1018
2163,2024-03-16,Data Analytics 101,41.94,1027
2164,2024-03-18,Machine Learning Basics,70.91,1019
2165,2024-03-23,Python for Data Science,54.37,1015
2166,2024-04-26,Machine Learning Basics,18.25,1011
2167,2024-01-25,Machine Learning Basics,59.83,1020
2168,2024-04-09,Python for Data Science,95.16,1015
2169,2024-02-26,Python for Data Science,20.21,1020
2170,2024-02-11,Python for Data Science,97.68,1013
2171,2024-04-04,Data Analytics 101,15.03,1002
2172,2024-03-27,Data Analytics 101,59.13,1010
2173,2024-01-18,Python for Data Science,97.18,1008
2174,2024-03-14,Machine Learning Basics,85.33,1016
2175,2024-04-11,Python for Data Science,17.57,1012
2176,2024-02-09,Python for Data Science,16.55,1017
